FileName,mean_particles,n_samples,time_per_event
events-ee-Z.hepmc3,43.05,1,38.04206848144531
events-ee-H.hepmc3,64.97,1,41.56827926635742
events-pp-0.5TeV-5GeV.hepmc3,112.62,1,78.54461669921875
events-pp-1TeV-5GeV.hepmc3,160.36,1,106.2321662902832
events-pp-2TeV-5GeV.hepmc3,188.21,1,126.46913528442383
events-pp-1TeV.hepmc3,226.98,1,136.0011100769043
events-pp-2TeV.hepmc3,226.98,1,139.0838623046875
events-pp-5TeV-10GeV.hepmc3,284.15,1,184.06152725219727
events-pp-8TeV-20GeV.hepmc3,354.18,1,208.28723907470703
events-pp-13TeV-20GeV.hepmc,431.18,1,252.55918502807617
events-pp-20TeV-20GeV.hepmc3,524.59,1,303.6046028137207
events-pp-20TeV-50GeV.hepmc3,553.64,1,286.7889404296875
events-pp-30TeV-50GeV.hepmc3,632.29,1,329.1606903076172
